brand,price,year,mileage,color,vin,lot,state,country,condition
dodge,10000,2017,52386.0,silver,3c4pdcab0ht524414,167789024,florida,usa,2 days left
dodge,23100,2019,34391.0,white,2c3cdxct7kh608441,167715833,florida,usa,21 hours left
dodge,14900,2019,39515.0,red,2c4rdgcg9kr578507,167715835,florida,usa,21 hours left
dodge,16700,2019,22074.0,orange,3c4pdcgg0kt783155,167570536,virginia,usa,2 days left
dodge,16300,2019,28782.0,white,2c4rdgeg6kr578882,167715849,florida,usa,21 hours left
dodge,25800,2019,30092.0,red,1c4rdjdg5kc733915,167717748,north carolina,usa,21 hours left
dodge,23800,2019,26443.0,black,2c3cdzbt4kh578392,167717749,north carolina,usa,21 hours left
dodge,16800,2019,28981.0,red,3c4pddeg4kt738776,167717794,north carolina,usa,21 hours left
dodge,15500,2019,32865.0,white,3c4pdceg4kt716822,167717801,north carolina,usa,21 hours left
dodge,6000,2014,117258.0,blue,2c3cdxbg9eh266032,167575083,florida,usa,23 hours left
dodge,26900,2019,16397.0,white,1c4rdjdg2kc780335,167580494,arizona,usa,20 hours left
dodge,16900,2019,16176.0,white,2c4rdgeg7kr743175,167580498,arizona,usa,20 hours left
dodge,19500,2019,1091.0,gray,2c4rdgcg0kr798456,167580505,arizona,usa,20 hours left
dodge,15400,2019,17472.0,black,2c4rdgcg3kr747548,167580517,arizona,usa,20 hours left
dodge,2300,2012,123882.0,white,1c3cdzag7cn309641,167791160,texas,usa,7 hours left
dodge,17000,2019,10341.0,red,2c3cdxbg0kh753132,167722603,california,usa,1 days left
dodge,34000,2019,19695.0,black,1c4sdjet3kc625404,167600947,new jersey,usa,2 hours left
dodge,13700,2017,51041.0,black,3c4pddgg5ht702827,167605371,pennsylvania,usa,1 days left
dodge,19100,2018,22646.0,white,2c3cdzag1jh288453,167792687,west virginia,usa,2 days left
dodge,11800,2018,18138.0,white,3c4pdcab0jt444388,167792692,west virginia,usa,2 days left
dodge,27500,2019,23987.0,gray,1c4rdjdg6kc701149,167724305,nevada,usa,6 hours left
dodge,26900,2019,17160.0,black,1c4rdjdg6kc770276,167724309,nevada,usa,6 hours left
dodge,27100,2019,26929.0,white,1c4rdjdgxkc770197,167724315,nevada,usa,6 hours left
dodge,27200,2019,25815.0,white,1c4rdjdg5kc744770,167724371,nevada,usa,6 hours left
dodge,9000,2017,81992.0,silver,2c4rdgcg9hr818437,167607358,florida,usa,4 days left
dodge,22500,2019,5000.0,gray,2c3cdzag6kh668955,167725170,south carolina,usa,21 hours left
dodge,7700,2015,62683.0,white,1c3cdfcb9fd102064,167793030,west virginia,usa,2 days left
dodge,4500,2013,107224.0,white,2c4rdgbg6dr505681,167609840,florida,usa,4 days left
dodge,2200,2013,184905.0,gray,3c4pddbg6dt605945,167611180,illinois,usa,16 hours left
dodge,21500,2019,35153.0,black,2c3cdxhg6kh611276,167611458,pennsylvania,usa,6 days left
dodge,18800,2019,26474.0,orange,2c3cdzag9kh617109,167611459,pennsylvania,usa,6 days left
dodge,21800,2019,30943.0,red,2c3cdxhg0kh608762,167611460,pennsylvania,usa,6 days left
dodge,20300,2019,17154.0,black,2c3cdzgg1kh712965,167611462,pennsylvania,usa,6 days left
dodge,8200,2016,79637.0,white,2c4rdgcg4gr384748,167727312,south carolina,usa,21 hours left
dodge,19000,2019,12123.0,red,2c4rdgeg1kr664259,167611463,pennsylvania,usa,6 days left
dodge,8400,2016,107822.0,blue,2c3cdxhg4gh237287,167727324,south carolina,usa,21 hours left
dodge,19500,2019,10221.0,blue,2c4rdgeg2kr724727,167611466,pennsylvania,usa,6 days left
dodge,7000,2015,95278.0,blue,3c4pdcab4ft518015,167727515,south carolina,usa,21 hours left
dodge,19500,2019,13457.0,gray,2c3cdzag2kh656320,167611467,pennsylvania,usa,6 days left
dodge,8500,2014,69936.0,blue,2c4rdgbg3er453122,167793430,missouri,usa,21 hours left
dodge,20500,2019,13520.0,gray,2c3cdzgg0kh702489,167611468,pennsylvania,usa,6 days left
dodge,4900,2014,96922.0,silver,1c3cdfbb6ed862064,167727578,south carolina,usa,21 hours left
dodge,20800,2014,72594.0,black,1c4sdjct7ec971656,167793438,missouri,usa,21 hours left
dodge,28500,2019,17896.0,silver,1c4rdjdg3kc827484,167611469,pennsylvania,usa,6 days left
dodge,21900,2019,11088.0,silver,2c4rdgegxkr786263,167611470,pennsylvania,usa,6 days left
dodge,15800,2019,29567.0,black,2c4rdgeg6kr623139,167796317,nevada,usa,2 days left
dodge,33000,2019,15655.0,white,1c4sdjct2kc683796,167730778,colorado,usa,16 hours left
dodge,22700,2019,26428.0,black,2c3cdzbt4kh642012,167796319,nevada,usa,2 days left
dodge,21900,2019,29003.0,white,2c3cdxhg2kh585016,167611474,pennsylvania,usa,6 days left
dodge,19300,2019,32229.0,red,2c3cdxbg2kh644607,167611475,pennsylvania,usa,6 days left
dodge,30700,2019,26503.0,black,1c4sdjct0kc744790,167796327,nevada,usa,2 days left
dodge,19300,2019,15446.0,black,2c3cdzag2kh679841,167611476,pennsylvania,usa,6 days left
dodge,13750,2014,128556.0,white,2c7wdgbg1er432307,167733402,california,usa,5 hours left
dodge,16400,2019,23369.0,silver,2c4rdgcg9kr696007,167796331,nevada,usa,2 days left
dodge,19500,2019,8767.0,black,2c4rdgeg8kr695119,167611477,pennsylvania,usa,6 days left
dodge,15100,2019,48319.0,white,2c4rdgeg2kr565983,167796338,nevada,usa,2 days left
dodge,28500,2019,15275.0,black,1c4rdjdg0kc622141,167611478,pennsylvania,usa,6 days left
dodge,15300,2019,33826.0,white,2c4rdgcg2kr648283,167796618,nevada,usa,2 days left
dodge,20300,2019,16679.0,white,2c3cdzgg3kh684649,167611479,pennsylvania,usa,6 days left
dodge,22000,2019,26184.0,gray,2c3cdxhg3kh630447,167611480,pennsylvania,usa,6 days left
dodge,16700,2019,21203.0,gray,3c4pddgg5kt779690,167796665,nevada,usa,2 days left
dodge,19300,2019,17870.0,black,2c3cdzag6kh701727,167611481,pennsylvania,usa,6 days left
dodge,34100,2019,17909.0,gray,1c4sdjct3kc820776,167734876,michigan,usa,21 hours left
dodge,14600,2019,41126.0,silver,2c4rdgcg5kr606318,167796677,nevada,usa,2 days left
dodge,18200,2019,14098.0,red,2c4rdgcgxkr753573,167611636,pennsylvania,usa,6 days left
dodge,33800,2019,15003.0,black,1c4sdjct1kc817603,167734879,michigan,usa,21 hours left
dodge,15900,2019,29105.0,black,3c4pddgg3kt720539,167796678,nevada,usa,2 days left
dodge,16500,2019,34794.0,black,2c4rdgeg9kr518336,167611637,pennsylvania,usa,6 days left
dodge,29600,2019,20034.0,silver,1c4rdjdg9kc722562,167734880,michigan,usa,21 hours left
dodge,14100,2019,46942.0,black,2c4rdgcg1kr520021,167796679,nevada,usa,2 days left
dodge,18200,2019,14753.0,white,2c4rdgcg3kr765807,167611639,pennsylvania,usa,6 days left
dodge,18200,2019,14359.0,black,2c4rdgcg5kr749382,167611640,pennsylvania,usa,6 days left
dodge,24300,2019,34922.0,black,2c3cdxjg8kh573477,167734890,michigan,usa,21 hours left
dodge,15400,2019,20944.0,white,3c4pdcgg4kt815525,167796686,nevada,usa,2 days left
dodge,19000,2019,9877.0,white,3c4pddgg1kt858578,167611644,pennsylvania,usa,6 days left
dodge,19000,2019,8949.0,black,3c4pddgg8kt858576,167611647,pennsylvania,usa,6 days left
dodge,27800,2017,13627.0,gray,2c3cdzbt8hh655998,167736227,georgia,usa,21 hours left
dodge,18200,2019,18291.0,blue,3c4pddgg9kt805269,167611653,pennsylvania,usa,6 days left
dodge,15000,2018,38029.0,white,3c4pdceg6jt516474,167612012,pennsylvania,usa,6 days left
dodge,19200,2017,32593.0,gray,2c4rdgeg6hr575487,167736343,michigan,usa,21 hours left
dodge,15500,2018,37352.0,red,2c4rdgeg8jr340109,167612017,pennsylvania,usa,6 days left
dodge,24900,2017,23030.0,green,2c3cdzgg8hh584894,167736354,michigan,usa,21 hours left
dodge,15500,2018,30671.0,red,3c4pdceg2jt426366,167612031,pennsylvania,usa,6 days left
dodge,7600,2012,79544.0,white,3c6td4ht4cg255894,167612530,texas,usa,17 hours left
dodge,18400,2017,15027.0,black,3c4pddeg4ht610210,167736421,michigan,usa,21 hours left
dodge,14700,2018,29115.0,white,2c4rdgeg0jr327368,167614578,florida,usa,24 hours left
dodge,3900,2015,93604.0,white,1c3cdfbb5fd319614,167736461,florida,usa,2 days left
dodge,5200,2015,100203.0,black,3c4pdcbg0ft637173,167736462,florida,usa,2 days left
dodge,17200,2019,35401.0,silver,2c4rdgeg6kr674401,167615130,minnesota,usa,14 hours left
dodge,18700,2019,20279.0,red,2c4rdgeg8kr690731,167615132,minnesota,usa,14 hours left
dodge,32000,2019,26090.0,red,1c4sdjct3kc632985,167615133,minnesota,usa,14 hours left
dodge,14500,2015,107924.0,white,1c4rdjdg4fc750792,167736958,michigan,usa,21 hours left
dodge,19400,2019,14906.0,black,2c4rdgcg2kr725699,167615134,minnesota,usa,14 hours left
dodge,17300,2019,34407.0,black,2c4rdgeg7kr674858,167615136,minnesota,usa,14 hours left
dodge,16700,2019,18049.0,orange,3c4pdcgg0kt783172,167615137,minnesota,usa,14 hours left
dodge,19100,2019,18132.0,white,2c4rdgcg4kr735473,167615139,minnesota,usa,14 hours left
dodge,11100,2013,109176.0,black,1c4rdjag0dc608666,167738875,illinois,usa,21 hours left
dodge,32000,2019,25456.0,black,1c4sdjct7kc647733,167615143,minnesota,usa,14 hours left
dodge,16900,2019,38375.0,silver,2c4rdgeg6kr619687,167615144,minnesota,usa,14 hours left
dodge,18000,2017,39792.0,blue,2c3cdxjg2hh505412,167740442,massachusetts,usa,6 days left
dodge,17800,2019,30403.0,white,2c4rdgcg5kr668950,167615145,minnesota,usa,14 hours left
dodge,18000,2019,28252.0,white,2c4rdgcg1kr691027,167615146,minnesota,usa,14 hours left
dodge,17500,2019,31904.0,white,2c4rdgeg6kr683079,167615147,minnesota,usa,14 hours left
dodge,14500,2018,24336.0,silver,2c4rdgcgxjr282071,167798093,nevada,usa,2 days left
dodge,18500,2019,23961.0,silver,2c4rdgcg3kr545227,167615148,minnesota,usa,14 hours left
dodge,18600,2019,22919.0,silver,2c4rdgcg1kr735463,167615149,minnesota,usa,14 hours left
dodge,32000,2019,22863.0,red,1c4sdjct7kc633007,167615150,minnesota,usa,14 hours left
dodge,17000,2019,38817.0,black,2c4rdgcg6kr660825,167615151,minnesota,usa,14 hours left
dodge,16000,2019,48854.0,white,2c4rdgeg5kr516518,167615152,minnesota,usa,14 hours left
dodge,18000,2019,27288.0,white,2c4rdgeg4kr662134,167615153,minnesota,usa,14 hours left
dodge,15900,2020,5284.0,orange,2c3cdxbg6lh100855,167742943,pennsylvania,usa,2 days left
dodge,6200,2016,99988.0,silver,3c4pdcbgxgt136860,167743028,alabama,usa,21 hours left
dodge,3700,2013,84109.0,black,1c3cdfbaxdd150548,167744124,alabama,usa,21 hours left
dodge,24000,2012,88539.0,white,3c63drgl5cg107218,167744350,mississippi,usa,21 hours left
dodge,20800,2013,33739.0,gold,2c4rdgdg1dr557085,167800125,nevada,usa,2 days left
dodge,18500,2012,101017.0,white,3c6ud5hl1cg109558,167744364,mississippi,usa,21 hours left
dodge,18300,2019,13906.0,black,2c3cdzagxkh687783,167744650,pennsylvania,usa,2 days left
dodge,21000,2019,20601.0,gray,2c3cdxbg2kh640928,167744671,pennsylvania,usa,3 days left
dodge,1300,2013,135561.0,white,2c4rdgcg3dr749500,167616430,tennessee,usa,2 days left
dodge,11900,2019,23421.0,gray,2c3cdxhg5kh681108,167744676,pennsylvania,usa,2 days left
dodge,950,2012,145174.0,white,2c4rdgbg5cr408504,167619457,maryland,usa,2 days left
dodge,26800,2019,21309.0,gray,1c4rdjdg5kc780720,167744677,pennsylvania,usa,2 days left
dodge,800,2012,217576.0,orange,2c4rdgbg1cr183286,167619888,north carolina,usa,2 days left
dodge,21000,2019,10350.0,white,2c4rdgeg7kr786270,167744678,pennsylvania,usa,2 days left
dodge,1900,2012,157636.0,orange,3c4pdcab1ct362558,167620277,georgia,usa,2 days left
dodge,33500,2019,8605.0,white,1c4sdjct2kc585450,167744679,pennsylvania,usa,3 days left
dodge,900,2013,139404.0,blue,1c3cdzab4dn594353,167623035,connecticut,usa,2 days left
dodge,21000,2019,10170.0,gray,2c4rdgeg5kr786266,167744681,pennsylvania,usa,2 days left
dodge,26800,2019,22272.0,silver,1c4rdjdg9kc780705,167744683,pennsylvania,usa,2 days left
dodge,5700,2016,101906.0,blue,2c4rdgbgxgr116627,167800442,texas,usa,2 days left
dodge,18500,2019,27019.0,green,2c3cdzag8kh617554,167744686,pennsylvania,usa,2 days left
dodge,33000,2019,10930.0,white,1c4sdjct7kc626641,167744693,pennsylvania,usa,3 days left
dodge,11000,2019,73552.0,silver,2c4rdgcgxkr517117,167624664,texas,usa,2 days left
dodge,15800,2019,37107.0,blue,2c4rdgeg7kr663746,167744764,pennsylvania,usa,2 days left
dodge,3600,2013,124247.0,white,1c4rdhag5dc663297,167624835,michigan,usa,2 days left
dodge,16300,2019,36993.0,white,2c4rdgeg5kr509682,167744772,pennsylvania,usa,2 days left
